Week Ending,Tests,Positive Cases,Positivity Rate,Change in Positivity Rate
"Dec 11, 2020",0,0,0,0
"Dec 4, 2020",0,0,0,0
"Nov 27, 2020",0,0,0,0
"Nov 20, 2020",0,0,0,0
"Nov 13, 2020",0,0,0,0
"Nov 6, 2020",1,0,0,0
"Oct 30, 2020",0,0,0,0
"Oct 23, 2020",0,0,0,0
"Oct 16, 2020",0,0,0,0
"Oct 9, 2020",3,0,0,0
"Oct 2, 2020",0,0,0,0
"Sep 25, 2020",0,0,0,0
"Sep 18, 2020",0,0,0,0
"Sep 11, 2020",0,0,0,0
"Sep 6, 2020",0,0,0,0
"Aug 30, 2020",1,0,0,0
