Week Ending,Tests,Positive Cases,Positivity Rate,Change in Positivity Rate
"Jan 22, 2021",1952,2,0.0010245901639344263,-0.0005857157941976188
"Jan 15, 2021",1863,3,0.001610305958132045,-0.00023812287735778853
"Jan 8, 2021",1623,3,0.0018484288354898336,-0.001611778776966914
"Jan 1, 2021",578,2,0.0034602076124567475,0.0007575049097540447
"Dec 25, 2020",740,2,0.002702702702702703,0.002702702702702703
"Dec 18, 2020",1801,0,0,-0.0024437927663734115
"Dec 11, 2020",2046,5,0.0024437927663734115,0.00033520025187683787
"Dec 4, 2020",1897,4,0.0021085925144965737,0.00029863776336535187
"Nov 27, 2020",1105,2,0.0018099547511312218,-0.0016502528613255257
"Nov 20, 2020",1445,5,0.0034602076124567475,0.0015602709436790402
"Nov 13, 2020",1579,3,0.0018999366687777073,0.0006071118465411204
"Nov 6, 2020",1547,2,0.001292824822236587,0.000014869550671091662
"Oct 30, 2020",1565,2,0.0012779552715654952,0.0012779552715654952
"Oct 23, 2020",1566,0,0,-0.0012714558169103624
"Oct 16, 2020",1573,2,0.0012714558169103624,-0.0005758348234837262
"Oct 9, 2020",1624,3,0.0018472906403940886,0.000986334979610619
"Oct 2, 2020",2323,2,0.0008609556607834697,0.0008609556607834697
"Sep 25, 2020",2182,0,0,-0.0018223234624145787
"Sep 18, 2020",2195,4,0.0018223234624145787,0.0018223234624145787
"Sep 11, 2020",1911,0,0,-0.0005202913631633715
"Sep 6, 2020",1922,1,0.0005202913631633715,0.0005202913631633715
"Aug 30, 2020",2053,0,0,0
